DATE,GEPUCURRENT
2012-07-01,160.22754028480261
2012-08-01,123.0971093169654
2012-09-01,152.08097912862922
2012-10-01,159.5541814106839
2012-11-01,173.73425322271592
2012-12-01,168.51174798371483
2013-01-01,167.89188691618816
2013-02-01,125.56746629920505
2013-03-01,141.5396622322633
2013-04-01,133.62975784733777
2013-05-01,106.28729556084477
2013-06-01,119.52155312327913
2013-07-01,108.35004380881796
2013-08-01,118.57491706559449
2013-09-01,132.72100163776244
2013-10-01,158.6930179409356
2013-11-01,96.3652874847496
2013-12-01,119.33852609847006
2014-01-01,111.04620134948557
2014-02-01,98.21535361954146
2014-03-01,113.56826590646705
2014-04-01,101.69734276220335
2014-05-01,104.1855346363368
2014-06-01,86.67951838656101
2014-07-01,93.17936194821925
2014-08-01,99.63789780464538
